27.07.2022 20:30 
Файл lab.log відкрито 
Оновлений час: 27.07.2022 20:30 

Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        172 K
Registry                        96 Services                   0     90 604 K
smss.exe                       364 Services                   0        904 K
csrss.exe                      568 Services                   0      4 576 K
wininit.exe                    680 Services                   0      5 140 K
csrss.exe                      696 Console                    1      5 392 K
services.exe                   752 Services                   0      8 144 K
lsass.exe                      760 Services                   0     14 092 K
svchost.exe                    872 Services                   0      3 276 K
fontdrvhost.exe                880 Services                   0      2 604 K
svchost.exe                    940 Services                   0     22 772 K
WUDFHost.exe                   960 Services                   0     10 528 K
svchost.exe                    508 Services                   0     13 536 K
svchost.exe                    548 Services                   0      7 176 K
winlogon.exe                  1032 Console                    1     10 136 K
fontdrvhost.exe               1088 Console                    1     11 660 K
dwm.exe                       1156 Console                    1     99 364 K
svchost.exe                   1264 Services                   0      6 360 K
svchost.exe                   1300 Services                   0      5 080 K
svchost.exe                   1364 Services                   0     12 428 K
svchost.exe                   1404 Services                   0      5 232 K
svchost.exe                   1564 Services                   0     10 184 K
USBSRService.exe              1584 Services                   0      5 484 K
atiesrxx.exe                  1688 Services                   0      4 860 K
svchost.exe                   1704 Services                   0      8 820 K
svchost.exe                   1716 Services                   0     13 376 K
svchost.exe                   1768 Services                   0      7 252 K
svchost.exe                   1880 Services                   0      7 052 K
svchost.exe                   1892 Services                   0     86 360 K
atieclxx.exe                  1900 Console                    1      9 040 K
svchost.exe                   1920 Services                   0      4 996 K
Memory Compression            1964 Services                   0    505 436 K
svchost.exe                   1988 Services                   0      7 648 K
igfxCUIService.exe             676 Services                   0      6 904 K
svchost.exe                   1416 Services                   0      6 512 K
svchost.exe                   1136 Services                   0      8 716 K
svchost.exe                   2140 Services                   0     12 292 K
RtkAudioService64.exe         2248 Services                   0      5 964 K
svchost.exe                   2288 Services                   0     11 496 K
svchost.exe                   2348 Services                   0      7 784 K
svchost.exe                   2376 Services                   0      7 124 K
svchost.exe                   2396 Services                   0      8 120 K
svchost.exe                   2404 Services                   0      5 768 K
svchost.exe                   2416 Services                   0     11 508 K
svchost.exe                   2560 Services                   0     17 456 K
svchost.exe                   2616 Services                   0     11 912 K
svchost.exe                   2652 Services                   0      6 680 K
svchost.exe                   2704 Services                   0      8 932 K
svchost.exe                   2712 Services                   0     16 556 K
svchost.exe                   2820 Services                   0     11 276 K
svchost.exe                   2884 Services                   0     16 268 K
svchost.exe                   3020 Services                   0     10 992 K
spoolsv.exe                   2948 Services                   0     10 852 K
svchost.exe                   3108 Services                   0      7 256 K
RAVBg64.exe                   3144 Console                    1      9 596 K
AdAppMgrSvc.exe               3184 Services                   0     16 768 K
AGMService.exe                3216 Services                   0      8 540 K
AGSService.exe                3236 Services                   0     10 952 K
svchost.exe                   3252 Services                   0      4 676 K
IntelCpHDCPSvc.exe            3272 Services                   0      5 700 K
svchost.exe                   3292 Services                   0     11 728 K
svchost.exe                   3308 Services                   0      5 904 K
svchost.exe                   3344 Services                   0     39 992 K
esif_uf.exe                   3400 Services                   0      5 072 K
EvtEng.exe                    3432 Services                   0     12 032 K
FNPLicensingService64.exe     3452 Services                   0      8 000 K
ibtsiva.exe                   3468 Services                   0      3 632 K
IpOverUsbSvc.exe              3528 Services                   0     11 532 K
svchost.exe                   3584 Services                   0      7 888 K
RegSrvc.exe                   3632 Services                   0      7 384 K
WavesSysSvc64.exe             3680 Services                   0      8 700 K
svchost.exe                   3704 Services                   0      5 516 K
sqlwriter.exe                 3712 Services                   0      6 380 K
svchost.exe                   3728 Services                   0      6 612 K
ZeroConfigService.exe         3748 Services                   0     14 300 K
svchost.exe                   3876 Services                   0      8 424 K
dasHost.exe                   3912 Services                   0     18 444 K
svchost.exe                   3652 Services                   0      6 392 K
IntelCpHeciSvc.exe            4156 Services                   0      5 580 K
unsecapp.exe                  4316 Services                   0      5 776 K
svchost.exe                   4364 Services                   0     10 952 K
WmiPrvSE.exe                  4624 Services                   0     50 236 K
svchost.exe                   4808 Services                   0      7 224 K
